Flow,O,D,Year
1028,46,10,2011
1617,49,2,2017
121,3,31,2017
43,36,38,2018
911,29,15,2018
14,1,40,2006
65,37,31,2014
214,27,46,2008
42,25,31,2007
466,14,20,2006
475,5,18,2005
177,3,23,2010
37,47,40,2017
68,12,1,2008
387,11,23,2006
51,45,46,2016
108,44,45,2005
78,46,11,2018
52,28,30,2014
8,37,38,2011
2367,22,12,2018
779,47,16,2017
463,20,11,2018
218,4,3,2005
108,36,17,2005
505,1,2,2016
91,26,30,2017
296,2,48,2009
45,42,24,2006
253,29,44,2016
45,38,48,2006
318,42,34,2013
42,10,29,2009
171,49,43,2018
782,46,18,2007
124,18,13,2013
405,22,37,2007
326,45,27,2013
25,14,33,2007
289,35,6,2005
768,21,4,2013
295,10,49,2013
43,2,11,2006
2255,38,10,2013
1647,39,36,2008
522,7,48,2011
2,37,45,2007
100,9,14,2009
1993,22,15,2018
2981,49,8,2013
631,41,34,2006
127,22,36,2013
251,48,47,2017
576,16,25,2014
182,4,48,2006
134,44,32,2008
1312,12,15,2010
1082,32,16,2010
255,6,37,2007
5979,39,37,2016
239,8,39,2008
199,49,39,2010
326,13,26,2018
388,26,41,2010
2519,27,34,2016
289,1,3,2016
13,44,1,2018
649,42,18,2012
313,39,27,2007
488,46,17,2014
206,46,4,2009
1785,18,23,2011
23,36,45,2009
742,22,23,2010
51,16,40,2011
99,34,46,2013
377,10,41,2013
189,19,47,2012
312,9,32,2009
276,30,42,2015
160,19,21,2007
70,32,40,2016
451,48,4,2005
120,31,8,2016
197,49,18,2011
3753,4,2,2015
480,21,48,2009
482,12,2,2011
483,22,46,2007
520,49,28,2017
163,34,41,2006
126,44,46,2006
682,39,18,2011
405,32,6,2012
208,15,11,2011
218,6,47,2009
100,11,8,2018
74,15,49,2010
185,48,3,2015
1100,36,18,2006
2497,24,9,2010
56,26,35,2012
704,43,7,2011
457,44,28,2015
2772,31,28,2012
20,1,38,2005
236,19,28,2011
1748,19,36,2010
224,10,26,2014
185,47,37,2012
559,6,4,2018
25,6,38,2016
540,18,41,2006
181,21,33,2016
607,22,25,2008
709,21,3,2018
71,13,29,2009
3785,30,9,2012
1420,29,37,2009
8,1,29,2014
480,9,13,2010
1138,19,37,2006
2518,45,16,2018
176,48,37,2013
867,47,34,2007
522,26,47,2016
109,36,27,2008
26,21,35,2006
1918,17,10,2009
195,27,30,2017
8,3,36,2010
575,21,42,2015
329,12,8,2009
459,44,30,2009
316,14,24,2010
2003,7,10,2013
72,20,5,2009
41,28,5,2013
450,49,38,2015
199,15,1,2009
68,6,49,2011
269,37,27,2013
140,45,19,2016
1836,23,1,2013
73,48,9,2009
7570,3,15,2013
123,2,1,2009
25,20,40,2017
187,1,43,2018
46,43,13,2009
449,38,21,2008
25,48,40,2016
12,1,40,2015
455,19,18,2009
94,7,11,2007
378,10,20,2008
1009,17,1,2005
4917,5,42,2015
804,5,18,2014
1106,48,34,2018
65,39,20,2017
165,12,31,2018
1404,33,4,2009
78,44,45,2014
452,30,3,2010
80,11,49,2017
330,43,2,2018
427,9,7,2008
425,41,17,2008
268,36,35,2018
284,4,3,2010
71,36,17,2014
85,48,24,2016
126,44,17,2010
592,30,42,2016
9,31,29,2012
589,18,42,2017
762,21,28,2010
84,39,13,2008
121,10,29,2006
1216,15,10,2006
556,40,4,2008
42,8,43,2009
348,49,40,2005
436,35,6,2010
2889,37,2,2006
1685,23,15,2011
168,22,45,2013
341,11,47,2008
214,10,49,2018
81,2,11,2015
20,42,11,2005
42,11,5,2011
134,46,13,2006
813,41,34,2015
157,27,24,2011
123,23,44,2010
6,17,11,2015
80,5,36,2005
183,4,48,2013
446,44,32,2007
16,17,45,2006
510,1,28,2011
246,9,11,2005
1575,42,10,2011
191,31,3,2018
310,28,4,2011
40,18,24,2009
617,37,8,2015
63,37,48,2014
813,45,43,2016
526,23,6,2007
686,16,21,2017
117,13,33,2015
969,4,25,2012
271,44,31,2008
211,11,4,2018
